DateTime,AltmanZScore
2023-03-31,0.1523
2022-12-31,0.3524
2022-09-30,0.376
2022-06-30,0.4135
2022-03-31,0.5696
2021-12-31,0.6568
2021-09-30,0.6716
2021-06-30,0.6669
2021-03-31,0.6214
2020-12-31,0.3391
2020-09-30,0.2839
2020-06-30,0.237
2020-03-31,0.0983
2019-12-31,0.4699
2019-09-30,0.4893
2019-06-30,0.464
2019-03-31,0.4735
2018-12-31,0.4735
2018-09-30,0.5117
2018-06-30,0.5294
2018-03-31,0.5655
2017-12-31,0.5268
2017-09-30,0.5718
2017-06-30,0.5483
2017-03-31,0.554
2016-12-31,0.5358
2016-09-30,0.5303
2016-06-30,0.482
2016-03-31,0.4818
2015-12-31,0.4929
2015-09-30,0.4497
2015-06-30,0.5251
2015-03-31,0.428
2014-12-31,0.4079
2014-09-30,0.3544
2014-06-30,0.3765
2014-03-31,0.5479
2013-12-31,0.446
2013-09-30,0.4584
2013-06-30,0.4291
2013-03-31,0.4727
2012-12-31,0.4338
2012-09-30,0.1132
2012-06-30,0.1065
2012-03-31,0.106
2011-12-31,0.358
2011-09-30,0.0414
2011-06-30,0.0569
2011-03-31,0.0557
2010-12-31,-0.0412
