DateTime,AltmanZScore
2023-03-31,4.195
2022-12-31,3.344
2022-09-30,3.638
2022-06-30,3.32
2022-03-31,3.936
2021-12-31,3.837
2021-09-30,4.323
2021-06-30,4.69
2021-03-31,6.149
2020-12-31,5.334
2020-09-30,5.394
2020-06-30,5.849
2020-03-31,6.185
2019-12-31,6.928
2019-09-30,6.542
2019-06-30,4.099
2019-03-31,4.302
2018-12-31,4.309
2018-09-30,5.361
2018-06-30,5.698
2018-03-31,7.762
2017-12-31,6.874
2017-09-30,6.385
2017-06-30,6.76
2017-03-31,7.492
2016-12-31,4.846
2016-09-30,5.508
2016-06-30,5.1
2016-03-31,5.502
2015-12-31,4.521
2015-09-30,6.109
2015-06-30,6.915
2015-03-31,8.141
2014-12-31,7.378
2014-09-30,7.153
2014-06-30,7.765
2014-03-31,8.954
2013-12-31,8.202
2013-09-30,8.66
2013-06-30,7.828
2013-03-31,6.128
2012-12-31,4.978
2012-09-30,5.344
2012-06-30,6.432
2012-03-31,6.427
2011-12-31,5.632
2011-09-30,5.661
2011-06-30,5.752
2011-03-31,6.527
2010-12-31,5.668
