DateTime,AltmanZScore
2023-03-31,4.223
2022-12-31,3.775
2022-09-30,3.881
2022-06-30,3.679
2022-03-31,3.917
2021-12-31,5.073
2021-09-30,5.287
2021-06-30,5.827
2021-03-31,5.359
2020-12-31,6.911
2020-09-30,9.326
2020-06-30,6.387
2020-03-31,6.131
2019-12-31,6.315
2019-09-30,5.965
2019-06-30,6.368
2019-03-31,7.087
2018-12-31,6.869
2018-09-30,5.806
2018-06-30,8.767
2018-03-31,10.95
2017-12-31,10.97
2017-09-30,12.35
2017-06-30,7.891
2017-03-31,6.664
2016-12-31,5.707
2016-09-30,5.812
2016-06-30,7.658
2016-03-31,5.548
2015-12-31,2.884
2015-09-30,1.985
2015-06-30,1.734
2015-03-31,1.558
2014-12-31,2.153
2014-09-30,2.489
2014-06-30,2.391
2014-03-31,1.439
2013-12-31,1.964
2013-09-30,1.799
2013-06-30,1.411
2013-03-31,1.788
2012-12-31,2.548
2012-09-30,1.744
2012-06-30,2.035
2012-03-31,2.59
2011-12-31,3.037
2011-09-30,3.283
2011-06-30,3.14
2011-03-31,1.97
2010-12-31,1.755
