DateTime,AltmanZScore
2023-06-30,0.5437
2023-03-31,0.6018
2022-12-31,0.6153
2022-09-30,0.634
2022-06-30,0.6637
2022-03-31,0.717
2021-12-31,0.7057
2021-09-30,0.6969
2021-06-30,0.694
2021-03-31,0.6126
2020-12-31,0.5529
2020-09-30,0.5274
2020-06-30,0.5115
2020-03-31,0.516
2019-12-31,0.5497
2019-09-30,0.5732
2019-06-30,0.5022
2019-03-31,0.4989
2018-12-31,0.4761
2018-09-30,0.5112
2018-06-30,0.5422
2018-03-31,0.5536
2017-12-31,0.5513
2017-09-30,0.5848
2017-06-30,0.5624
2017-03-31,0.5784
2016-12-31,0.5655
2016-09-30,0.5609
2016-06-30,0.5608
2016-03-31,0.5734
2015-12-31,0.5629
2015-09-30,0.5326
2015-06-30,0.5505
2015-03-31,0.5774
2014-12-31,0.5697
2014-09-30,0.5753
2014-06-30,0.58
2014-03-31,0.5903
2013-12-31,0.5619
2013-09-30,0.5794
2013-06-30,0.5782
2013-03-31,0.5769
2012-12-31,0.5524
2012-09-30,0.2108
2012-06-30,0.1953
2012-03-31,0.194
2011-12-31,0.5282
2011-09-30,0.1581
2011-06-30,0.1674
2011-03-31,0.1941
