DateTime,AltmanZScore
2023-06-30,3.261
2023-03-31,2.907
2022-12-31,2.17
2022-09-30,1.958
2022-06-30,2.725
2022-03-31,4.631
2021-12-31,5.67
2021-09-30,6.924
2021-06-30,7.658
2021-03-31,6.551
2020-12-31,7.19
2020-09-30,7.297
2020-06-30,6.412
2020-03-31,4.989
2019-12-31,9.747
2019-09-30,9.726
2019-06-30,10.41
2019-03-31,10.1
2018-12-31,8.179
2018-09-30,10.71
2018-06-30,9.863
2018-03-31,10.42
2017-12-31,8.493
2017-09-30,11.63
2017-06-30,11.73
2017-03-31,9.079
2016-12-31,7.301
2016-09-30,7.36
2016-06-30,6.753
2016-03-31,6.443
2015-12-31,6.312
2015-09-30,6.217
2015-06-30,5.73
2015-03-31,5.269
2014-12-31,5.242
2014-09-30,5.258
2014-06-30,5.733
2014-03-31,5.26
2013-12-31,6.266
2013-09-30,6.954
2013-06-30,5.886
2013-03-31,5.503
2012-12-31,4.469
2012-09-30,5.813
2012-06-30,6.217
2012-03-31,7.413
2011-12-31,5.597
2011-09-30,6.819
2011-06-30,8.392
2011-03-31,7.249
