DateTime,AltmanZScore
2023-03-31,0.9699
2022-12-31,0.8103
2022-09-30,0.7877
2022-06-30,0.8115
2022-03-31,0.9124
2021-12-31,1.052
2021-09-30,1.24
2021-06-30,1.264
2021-03-31,1.255
2020-12-31,0.9034
2020-09-30,0.7809
2020-06-30,0.3768
2020-03-31,0.3997
2019-12-31,0.6558
2019-09-30,0.6268
2019-06-30,0.5819
2019-03-31,0.5788
2018-12-31,0.5154
2018-09-30,1.068
2018-06-30,1.043
2018-03-31,0.9039
2017-12-31,0.892
2017-09-30,0.9171
2017-06-30,0.7327
2017-03-31,0.728
2016-12-31,0.669
2016-09-30,0.5897
2016-06-30,0.5861
2016-03-31,0.5673
2015-12-31,0.5183
2015-09-30,0.4193
2015-06-30,1.848
2015-03-31,1.762
2014-12-31,0.3418
2014-09-30,0.6545
2014-06-30,0.835
2014-03-31,0.8131
2013-12-31,-0.0271
2013-09-30,1.128
2013-06-30,1.1
2013-03-31,1.116
2012-12-31,1.061
2012-09-30,1.262
2012-06-30,1.328
2012-03-31,1.336
2011-12-31,1.269
2011-09-30,1.11
2011-06-30,1.115
2011-03-31,0.81
2010-12-31,0.8352
