DateTime,AltmanZScore
2020-06-30,0.3256
2020-03-31,0.3013
2019-12-31,0.5294
2019-09-30,0.5275
2019-06-30,0.5192
2019-03-31,0.5326
2018-12-31,0.5088
2018-09-30,0.5385
2018-06-30,0.5608
2018-03-31,0.5389
2017-12-31,0.4985
2017-09-30,0.5058
2017-06-30,0.496
2017-03-31,0.4988
2016-12-31,0.5306
2016-09-30,0.5007
2016-06-30,0.4975
2016-03-31,0.4949
2015-12-31,0.4847
2015-09-30,0.4913
2015-06-30,0.4948
2015-03-31,0.4857
2014-12-31,0.5023
2014-09-30,0.4714
2014-06-30,0.5034
2014-03-31,0.5154
2013-12-31,0.4922
2013-09-30,0.4664
2013-06-30,0.4645
2013-03-31,0.4858
2012-12-31,0.4541
2012-09-30,0.3027
2012-06-30,0.3027
2012-03-31,0.3844
2011-12-31,0.4747
2011-09-30,0.3451
2011-06-30,0.3653
2011-03-31,0.3619
2010-12-31,0.4123
2010-09-30,0.3943
2010-06-30,0.3725
2010-03-31,0.3891
2009-12-31,0.3724
2009-09-30,0.2905
2009-06-30,0.295
2009-03-31,0.2919
2008-12-31,0.2576
2008-09-30,0.1536
2008-06-30,0.2995
2008-03-31,0.2356
