DateTime,AltmanZScore
2023-03-31,0.5287
2022-12-31,0.5547
2022-09-30,0.5772
2022-06-30,0.5417
2022-03-31,0.4858
2021-12-31,0.4919
2021-09-30,0.4913
2021-06-30,0.4793
2021-03-31,0.4823
2020-12-31,0.49
2020-09-30,0.5057
2020-06-30,0.5139
2020-03-31,0.533
2019-12-31,0.4928
2019-09-30,0.4953
2019-06-30,0.4895
2019-03-31,0.4826
2018-12-31,0.4923
2018-09-30,0.4729
2018-06-30,0.4801
2018-03-31,0.4864
2017-12-31,0.4868
2017-09-30,0.4928
2017-06-30,0.4751
2017-03-31,0.4762
2016-12-31,0.481
2016-09-30,0.4704
2016-06-30,0.4743
2016-03-31,0.4686
2015-12-31,0.4535
2015-09-30,0.4629
2015-06-30,0.4407
2015-03-31,0.4379
2014-12-31,0.4426
2014-09-30,0.442
2014-06-30,0.4398
2014-03-31,0.442
2013-12-31,0.4445
2013-09-30,0.4452
2013-06-30,0.4498
2013-03-31,0.4501
2012-12-31,0.569
2012-09-30,0.1738
2012-06-30,0.1677
2012-03-31,0.1739
2011-12-31,0.5841
2011-09-30,0.1875
2011-06-30,0.199
2011-03-31,0.1964
2010-12-31,0.1948
