DateTime,AltmanZScore
2023-03-31,0.3261
2022-12-31,0.3158
2022-09-30,0.3451
2022-06-30,0.3538
2022-03-31,0.3509
2021-12-31,0.3978
2021-09-30,0.4679
2021-06-30,0.4086
2021-03-31,0.4526
2020-12-31,0.4091
2020-09-30,0.3942
2020-06-30,0.359
2020-03-31,0.2865
2019-12-31,0.3376
2019-09-30,0.3497
2019-06-30,0.3933
2019-03-31,0.3878
2018-12-31,0.3578
2018-09-30,0.3388
2018-06-30,0.3303
2018-03-31,0.3092
2017-12-31,0.3554
2017-09-30,0.339
2017-06-30,0.2958
2017-03-31,0.318
2016-12-31,0.3454
2016-09-30,0.2958
2016-06-30,0.2405
2016-03-31,0.2438
2015-12-31,0.2419
2015-09-30,0.2706
2015-06-30,0.2416
2015-03-31,0.3144
2014-12-31,0.2952
2014-09-30,0.3198
2014-06-30,0.3723
2014-03-31,0.2985
2013-12-31,0.3112
2013-09-30,0.3354
2013-06-30,0.3953
2013-03-31,0.4345
2012-12-31,0.4512
2012-09-30,0.2012
2012-06-30,0.1765
2012-03-31,0.1548
2011-12-31,0.4086
2011-09-30,0.1723
2011-06-30,0.19
2011-03-31,0.1995
2010-12-31,0.2005
