DateTime,AltmanZScore
2023-03-31,0.4445
2022-12-31,0.457
2022-09-30,0.4672
2022-06-30,0.5641
2022-03-31,0.6167
2021-12-31,0.6314
2021-09-30,0.6374
2021-06-30,0.5806
2021-03-31,0.5559
2020-12-31,0.5129
2020-09-30,0.4867
2020-06-30,0.4546
2020-03-31,0.4563
2019-12-31,0.464
2019-09-30,0.4507
2019-06-30,0.4712
2019-03-31,0.4551
2018-12-31,0.4282
2018-09-30,0.4086
2018-06-30,0.432
2018-03-31,0.3853
2017-12-31,0.3756
2017-09-30,0.4255
2017-06-30,0.394
2017-03-31,0.4431
2016-12-31,0.4683
2016-09-30,0.4353
2016-06-30,0.4444
2016-03-31,0.3645
2015-12-31,0.3737
2015-09-30,0.3649
2015-06-30,0.4082
2015-03-31,0.4001
2014-12-31,0.372
2014-09-30,0.3957
2014-06-30,0.3936
2014-03-31,0.3674
2013-12-31,0.3526
2013-09-30,0.3049
2013-06-30,0.3255
2013-03-31,0.356
2012-12-31,0.3429
2012-09-30,0.361
2012-06-30,0.3769
2012-03-31,0.3768
2011-12-31,0.3996
2011-09-30,0.3378
2011-06-30,0.3284
2011-03-31,0.3216
2010-12-31,0.3277
