DateTime,AltmanZScore
2023-06-30,3.169
2023-03-31,3.208
2022-12-31,3.128
2022-09-30,2.861
2022-06-30,2.831
2022-03-31,2.997
2021-12-31,3.504
2021-09-30,3.866
2021-06-30,4.209
2021-03-31,4.43
2020-12-31,4.027
2020-09-30,3.842
2020-06-30,3.719
2020-03-31,3.754
2019-12-31,4.087
2019-09-30,3.997
2019-06-30,3.868
2019-03-31,3.938
2018-12-31,3.838
2018-09-30,4.05
2018-06-30,4.043
2018-03-31,3.951
2017-12-31,3.972
2017-09-30,3.865
2017-06-30,3.984
2017-03-31,4.369
2016-12-31,4.313
2016-09-30,4.018
2016-06-30,3.908
2016-03-31,4.024
2015-12-31,3.98
2015-09-30,3.968
2015-06-30,4.059
2015-03-31,3.996
2014-12-31,4.168
2014-09-30,3.772
2014-06-30,3.853
2014-03-31,3.953
2013-12-31,4.069
2013-09-30,3.923
2013-06-30,3.707
2013-03-31,3.534
2012-12-31,3.791
2012-09-30,3.841
2012-06-30,3.717
2012-03-31,3.891
2011-12-31,3.888
2011-09-30,3.701
2011-06-30,4.142
2011-03-31,4.688
