DateTime,AltmanZScore
2023-03-31,0.2397
2022-12-31,0.2187
2022-09-30,0.189
2022-06-30,0.178
2022-03-31,0.2138
2021-12-31,0.2324
2021-09-30,0.2499
2021-06-30,0.3028
2021-03-31,0.2221
2020-12-31,0.1399
2020-09-30,0.1495
2020-06-30,0.1614
2020-03-31,0.1415
2019-12-31,0.1559
2019-09-30,0.18
2019-06-30,0.1801
2019-03-31,0.1973
2018-12-31,0.2052
2018-09-30,0.2118
2018-06-30,0.2211
2018-03-31,0.1982
2017-12-31,0.1799
2017-09-30,0.1572
2017-06-30,0.1224
2017-03-31,0.178
2016-12-31,0.2116
2016-09-30,0.1389
2016-06-30,0.1441
2016-03-31,0.2073
2015-12-31,0.2374
2015-09-30,0.1971
2015-06-30,0.1794
2015-03-31,0.1943
2014-12-31,0.2162
2014-09-30,0.2061
2014-06-30,0.1663
2014-03-31,0.1312
2013-12-31,0.06
2013-09-30,0.0416
2013-06-30,0.0649
2013-03-31,0.1711
2012-12-31,0.1938
2012-09-30,0.0938
2012-06-30,0.1276
2012-03-31,0.1693
2011-12-31,0.1525
2011-09-30,-0.0055
2011-06-30,0.0065
2011-03-31,0.2221
2010-12-31,0.2307
