DateTime,AltmanZScore
2023-03-31,35.72
2022-12-31,32.3
2022-09-30,28.72
2022-06-30,29.6
2022-03-31,36.47
2021-12-31,35.62
2021-09-30,40.04
2021-06-30,33.29
2021-03-31,35.09
2020-12-31,34.14
2020-09-30,23.08
2020-06-30,24.9
2020-03-31,21.31
2019-12-31,24.47
2019-09-30,24.84
2019-06-30,20.82
2019-03-31,20.11
2018-12-31,19.71
2018-09-30,17.75
2018-06-30,22.13
2018-03-31,19.8
2017-12-31,20.31
2017-09-30,23.38
2017-06-30,26.23
2017-03-31,22.31
2016-12-31,25.63
2016-09-30,18.82
2016-06-30,16.4
2016-03-31,17.16
2015-12-31,16.44
2015-09-30,14.07
2015-06-30,13.31
2015-03-31,15.98
2014-12-31,16.72
2014-09-30,16.64
2014-06-30,18.44
2014-03-31,20.91
2013-12-31,17.73
2013-09-30,15.7
2013-06-30,12.21
2013-03-31,13.17
2012-12-31,11.46
2012-09-30,9.546
2012-06-30,8.569
2012-03-31,11.62
2011-12-31,10.46
2011-09-30,9.727
2011-06-30,12.32
2011-03-31,12.71
2010-12-31,10.98
