DateTime,AltmanZScore
2023-03-31,0.3439
2022-12-31,0.5113
2022-09-30,0.5822
2022-06-30,0.8471
2022-03-31,1.18
2021-12-31,1.317
2021-09-30,1.41
2021-06-30,1.541
2021-03-31,1.409
2020-12-31,0.8369
2020-09-30,0.4611
2020-06-30,0.3407
2020-03-31,0.093
2019-12-31,0.63
2019-09-30,0.5965
2019-06-30,0.6104
2019-03-31,0.6541
2018-12-31,0.7393
2018-09-30,0.9463
2018-06-30,0.7694
2018-03-31,0.8164
2017-12-31,0.867
2017-09-30,0.7795
2017-06-30,0.9038
2017-03-31,0.9942
2016-12-31,1.009
2016-09-30,0.7968
2016-06-30,0.7944
2016-03-31,0.7212
2015-12-31,0.6662
2015-09-30,0.7772
2015-06-30,0.8142
2015-03-31,0.88
2014-12-31,0.8695
2014-09-30,1.001
2014-06-30,1.064
2014-03-31,1.114
2013-12-31,1.338
2013-09-30,1.262
2013-06-30,1.232
2013-03-31,1.298
2012-12-31,1.457
2012-09-30,1.474
2012-06-30,1.695
2012-03-31,2.065
2011-12-31,1.253
2011-09-30,1.152
2011-06-30,1.848
2011-03-31,1.837
2010-12-31,3.785
