DateTime,AltmanZScore
2023-03-31,3.091
2022-12-31,4.612
2022-09-30,4.102
2022-06-30,4.052
2022-03-31,4.281
2021-12-31,4.382
2021-09-30,4.342
2021-06-30,4.761
2021-03-31,4.519
2020-12-31,5.048
2020-09-30,3.63
2020-06-30,3.258
2020-03-31,2.094
2019-12-31,2.98
2019-09-30,3.728
2019-06-30,4.794
2019-03-31,4.95
2018-12-31,4.727
2018-09-30,5.389
2018-06-30,4.81
2018-03-31,4.1
2017-12-31,3.2
2017-09-30,2.8
2017-06-30,2.683
2017-03-31,2.523
2016-12-31,2.369
2016-09-30,2.07
2016-06-30,1.866
2016-03-31,1.639
2015-12-31,1.918
2015-09-30,1.91
2015-06-30,2.516
2015-03-31,2.449
2014-12-31,2.554
2014-09-30,2.444
2014-06-30,3.412
2014-03-31,3.183
2013-12-31,3.324
2013-09-30,2.668
2013-06-30,2.332
2013-03-31,2.244
2012-12-31,1.96
2012-09-30,2.023
2012-06-30,2.362
2012-03-31,2.8
2011-12-31,2.045
2011-09-30,1.575
2011-06-30,2.003
2011-03-31,3.082
2010-12-31,3.207
