DateTime,AltmanZScore
2023-06-30,3.401
2023-03-31,3.33
2022-12-31,3.305
2022-09-30,3.549
2022-06-30,3.405
2022-03-31,3.562
2021-12-31,4.006
2021-09-30,3.249
2021-06-30,2.586
2021-03-31,2.278
2020-12-31,1.948
2020-09-30,1.675
2020-06-30,1.67
2020-03-31,1.835
2019-12-31,2.24
2019-09-30,2.543
2019-06-30,2.79
2019-03-31,2.698
2018-12-31,2.443
2018-09-30,2.588
2018-06-30,2.376
2018-03-31,2.352
2017-12-31,2.325
2017-09-30,2.104
2017-06-30,2.144
2017-03-31,2.155
2016-12-31,2.207
2016-09-30,2.158
2016-06-30,2.088
2016-03-31,2.336
2015-12-31,2.452
2015-09-30,2.511
2015-06-30,3.185
2015-03-31,3.468
2014-12-31,3.014
2014-09-30,3.056
2014-06-30,2.657
2014-03-31,2.338
2013-12-31,2.168
2013-09-30,2.188
2013-06-30,1.82
2013-03-31,1.857
2012-12-31,1.92
2012-09-30,2.012
2012-06-30,2.024
2012-03-31,2.145
2011-12-31,2.184
2011-09-30,2.384
2011-06-30,2.41
2011-03-31,2.533
