DateTime,AltmanZScore
2023-03-31,0.3893
2022-12-31,0.3512
2022-09-30,0.3488
2022-06-30,0.3673
2022-03-31,0.4295
2021-12-31,0.4506
2021-09-30,0.4364
2021-06-30,0.4326
2021-03-31,0.4211
2020-12-31,0.4245
2020-09-30,0.4279
2020-06-30,0.416
2020-03-31,0.451
2019-12-31,0.4472
2019-09-30,0.3866
2019-06-30,0.3858
2019-03-31,0.3832
2018-12-31,0.3537
2018-09-30,0.3609
2018-06-30,0.3904
2018-03-31,0.3877
2017-12-31,0.3965
2017-09-30,0.4193
2017-06-30,0.4438
2017-03-31,0.4549
2016-12-31,0.4426
2016-09-30,0.3838
2016-06-30,0.449
2016-03-31,0.3823
2015-12-31,0.3613
2015-09-30,0.4044
2015-06-30,0.4079
2015-03-31,0.3356
2014-12-31,0.3207
2014-09-30,0.3806
2014-06-30,0.3781
2014-03-31,0.4084
2013-12-31,0.4181
2013-09-30,0.39
2013-06-30,0.3936
2013-03-31,0.4924
2012-12-31,0.4031
2012-09-30,0.1275
2012-06-30,0.0919
2012-03-31,0.1041
2011-12-31,0.3974
2011-09-30,0.1112
2011-06-30,0.1315
2011-03-31,0.1558
2010-12-31,0.1572
