DateTime,AltmanZScore
2023-03-31,0.6847
2022-12-31,0.6577
2022-09-30,0.7172
2022-06-30,1.442
2022-03-31,1.385
2021-12-31,1.492
2021-09-30,1.667
2021-06-30,1.784
2021-03-31,1.768
2020-12-31,1.602
2020-09-30,1.51
2020-06-30,1.455
2020-03-31,1.354
2019-12-31,1.337
2019-09-30,1.418
2019-06-30,1.669
2019-03-31,1.749
2018-12-31,1.909
2018-09-30,1.97
2018-06-30,1.892
2018-03-31,1.878
2017-12-31,1.685
2017-09-30,1.685
2017-06-30,1.685
2017-03-31,1.685
2016-12-31,1.685
2016-09-30,1.685
2016-06-30,1.685
2016-03-31,1.685
2015-12-31,1.685
2015-09-30,1.685
2015-06-30,1.685
2015-03-31,1.685
2014-12-31,1.685
2014-09-30,1.685
2014-06-30,1.685
2014-03-31,1.685
2013-12-31,1.685
2013-09-30,1.685
2013-06-30,1.685
2013-03-31,1.685
2012-12-31,1.685
2012-09-30,1.685
2012-06-30,1.522
2012-03-31,1.605
2011-12-31,1.605
2011-09-30,1.498
2011-06-30,1.498
2011-03-31,1.498
2010-12-31,1.104
