DateTime,AltmanZScore
2023-03-31,35.93
2022-12-31,34.3
2022-09-30,43.56
2022-06-30,-5.914
2022-03-31,7.796
2021-12-31,5.909
2021-09-30,29.33
2021-06-30,19.92
2021-03-31,30.13
2020-12-31,34.19
2020-09-30,28.17
2020-06-30,48.24
2020-03-31,15.36
2019-12-31,27.39
2019-09-30,33.96
2019-06-30,35.38
2019-03-31,-11.01
2018-12-31,-12.17
2018-09-30,-4.26
2018-06-30,-24.67
2018-03-31,-14.83
2017-12-31,-6.568
2017-09-30,-3.271
2017-06-30,5.377
2017-03-31,11.7
2016-12-31,41.32
2016-09-30,38.14
2016-06-30,53.44
2016-03-31,98.58
2015-12-31,145.25
2015-09-30,188.72
2015-06-30,185.72
2015-03-31,183.1
2014-12-31,141.23
2014-09-30,280.93
2014-06-30,255.62
2014-03-31,169.69
2013-12-31,482.52
2013-09-30,218.43
2013-06-30,139.69
2013-03-31,85.06
2012-12-31,201.6
2012-09-30,153.63
2012-06-30,38.9
2012-03-31,42.86
2011-12-31,93.11
2011-09-30,102.95
2011-06-30,108.0
2011-03-31,123.99
2010-12-31,170.96
