DateTime,AltmanZScore
2023-03-31,1.381
2022-12-31,1.438
2022-09-30,1.243
2022-06-30,1.371
2022-03-31,1.667
2021-12-31,1.673
2021-09-30,1.508
2021-06-30,1.409
2021-03-31,1.214
2020-12-31,0.9042
2020-09-30,0.7547
2020-06-30,0.9206
2020-03-31,0.7229
2019-12-31,1.325
2019-09-30,1.466
2019-06-30,1.495
2019-03-31,1.516
2018-12-31,1.354
2018-09-30,1.489
2018-06-30,1.403
2018-03-31,1.342
2017-12-31,1.614
2017-09-30,1.404
2017-06-30,1.421
2017-03-31,1.51
2016-12-31,2.385
2016-09-30,2.683
2016-06-30,2.285
2016-03-31,2.217
2015-12-31,1.97
2015-09-30,1.636
2015-06-30,1.625
2015-03-31,1.829
2014-12-31,1.709
2014-09-30,1.416
2014-06-30,1.445
2014-03-31,1.329
2013-12-31,1.326
2013-09-30,1.364
2013-06-30,1.419
2013-03-31,1.394
2012-12-31,1.25
2012-09-30,1.408
2012-06-30,1.246
2012-03-31,1.22
2011-12-31,1.054
2011-09-30,0.9402
2011-06-30,1.211
2011-03-31,1.248
2010-12-31,1.058
