DateTime,AltmanZScore
2023-03-31,10.84
2022-12-31,9.856
2022-09-30,10.09
2022-06-30,8.879
2022-03-31,10.48
2021-12-31,9.546
2021-09-30,9.345
2021-06-30,8.843
2021-03-31,7.977
2020-12-31,7.673
2020-09-30,8.579
2020-06-30,9.857
2020-03-31,11.27
2019-12-31,8.829
2019-09-30,7.333
2019-06-30,8.018
2019-03-31,10.09
2018-12-31,10.51
2018-09-30,11.32
2018-06-30,10.46
2018-03-31,10.3
2017-12-31,11.64
2017-09-30,13.08
2017-06-30,14.37
2017-03-31,10.34
2016-12-31,11.26
2016-09-30,12.92
2016-06-30,12.49
2016-03-31,12.78
2015-12-31,19.57
2015-09-30,17.55
2015-06-30,28.78
2015-03-31,24.82
2014-12-31,21.53
2014-09-30,20.64
2014-06-30,17.93
2014-03-31,19.38
2013-12-31,18.59
2013-09-30,21.75
2013-06-30,17.19
2013-03-31,13.77
2012-12-31,13.6
2012-09-30,11.26
2012-06-30,7.519
2012-03-31,7.115
2011-12-31,2.647
2011-09-30,4.244
2011-06-30,4.242
2011-03-31,3.325
2010-12-31,2.199
