DateTime,AltmanZScore
2023-03-31,0.2788
2022-12-31,0.6445
2022-09-30,2.929
2022-06-30,2.932
2022-03-31,3.521
2021-12-31,3.538
2021-09-30,2.18
2021-06-30,2.543
2021-03-31,2.472
2020-12-31,3.005
2020-09-30,4.946
2020-06-30,15.28
2020-03-31,16.03
2019-12-31,18.73
2019-09-30,19.17
2019-06-30,32.86
2019-03-31,39.66
2018-12-31,27.52
2018-09-30,78.7
2018-06-30,75.96
2018-03-31,33.51
2017-12-31,38.3
2017-09-30,40.66
2017-06-30,27.62
2017-03-31,29.97
2016-12-31,25.23
2016-09-30,13.15
2016-06-30,12.25
2016-03-31,26.46
2015-12-31,57.31
2015-09-30,63.71
