DateTime,AltmanZScore
2023-03-31,4.018
2022-12-31,4.223
2022-09-30,4.119
2022-06-30,4.267
2022-03-31,4.277
2021-12-31,4.397
2021-09-30,4.594
2021-06-30,4.33
2021-03-31,4.739
2020-12-31,4.719
2020-09-30,4.044
2020-06-30,3.998
2020-03-31,4.112
2019-12-31,4.891
2019-09-30,6.54
2019-06-30,6.461
2019-03-31,7.669
2018-12-31,6.079
2018-09-30,16.45
2018-06-30,11.44
2018-03-31,10.62
2017-12-31,8.745
2017-09-30,7.801
2017-06-30,6.662
2017-03-31,7.062
2016-12-31,6.187
2016-09-30,6.652
2016-06-30,5.346
2016-03-31,4.897
2015-12-31,3.508
