DateTime,AltmanZScore
2023-03-31,-2.988
2022-12-31,-3.697
2022-09-30,-1.28
2022-06-30,-3.647
2022-03-31,-2.671
2021-12-31,-3.328
2021-09-30,-1.678
2021-06-30,-0.8318
2021-03-31,-0.3803
2020-12-31,0.6455
2020-09-30,0.4532
2020-06-30,0.0583
2020-03-31,0.0583
2019-12-31,0.0583
2019-09-30,0.0583
2019-06-30,0.0583
2019-03-31,0.4069
2018-12-31,0.2118
2018-09-30,5.966
2018-06-30,8.31
2018-03-31,10.84
2017-12-31,26.33
2017-09-30,13.46
2017-06-30,13.11
2017-03-31,8.705
2016-12-31,9.745
2016-09-30,7.973
2016-06-30,8.592
2016-03-31,11.64
2015-12-31,24.19
2015-09-30,15.8
2015-06-30,17.9
2015-03-31,22.07
2014-12-31,13.25
2014-09-30,11.73
2014-06-30,18.27
2014-03-31,9.192
