DateTime,AltmanZScore
2023-03-31,-0.3403
2022-12-31,-0.2225
2022-09-30,-0.2509
2022-06-30,-0.2489
2022-03-31,-0.0513
2021-12-31,-0.4687
2021-09-30,-0.3516
2021-06-30,-0.3032
2021-03-31,-0.2886
2020-12-31,-0.205
2020-09-30,-0.0166
2020-06-30,0.2927
2020-03-31,0.6471
2019-12-31,1.515
2019-09-30,1.557
2019-06-30,1.513
2019-03-31,1.515
2018-12-31,1.571
2018-09-30,1.713
2018-06-30,1.67
2018-03-31,1.459
2017-12-31,1.366
2017-09-30,1.17
2017-06-30,1.214
2017-03-31,1.238
2016-12-31,1.338
2016-09-30,1.508
2016-06-30,1.491
2016-03-31,1.478
2015-12-31,1.417
2015-09-30,1.262
2015-06-30,1.157
2015-03-31,1.15
2014-12-31,0.9327
2014-09-30,0.8931
2014-06-30,0.9571
