DateTime,AltmanZScore
2023-06-30,0.3774
2023-03-31,0.3718
2022-12-31,0.3507
2022-09-30,0.3648
2022-06-30,0.3915
2022-03-31,0.4488
2021-12-31,0.486
2021-09-30,0.5268
2021-06-30,0.4835
2021-03-31,0.4085
2020-12-31,0.319
2020-09-30,0.2841
2020-06-30,0.2717
2020-03-31,0.4147
2019-12-31,0.4451
2019-09-30,0.4364
2019-06-30,0.4381
2019-03-31,0.416
2018-12-31,0.3859
2018-09-30,0.4263
2018-06-30,0.4424
2018-03-31,0.4278
2017-12-31,0.4769
2017-09-30,0.4894
2017-06-30,0.4908
2017-03-31,0.4982
2016-12-31,0.492
2016-09-30,0.4588
2016-06-30,0.4656
2016-03-31,0.4783
2015-12-31,0.4325
2015-09-30,0.432
2015-06-30,0.4528
2015-03-31,0.4611
2014-12-31,0.4744
2014-09-30,0.4863
2014-06-30,0.509
2014-03-31,0.5324
2013-12-31,0.5484
2013-09-30,0.552
2013-06-30,0.5537
2013-03-31,0.5297
2012-12-31,0.5255
2012-09-30,0.2992
2012-06-30,0.3073
2012-03-31,0.3272
2011-12-31,0.5557
2011-09-30,0.2992
2011-06-30,0.3256
2011-03-31,0.3157
