DateTime,AltmanZScore
2013-12-31,74.82
2013-09-30,-0.8178
2013-06-30,-1.157
2013-03-31,-0.3131
2012-12-31,-0.7074
2012-09-30,1.927
2012-06-30,1.732
2012-03-31,1.016
2011-12-31,1.031
2011-09-30,1.194
2011-06-30,0.7178
2011-03-31,2.907
2010-12-31,1.528
2010-09-30,2.402
2010-06-30,2.132
2010-03-31,2.489
2009-12-31,1.985
2009-09-30,1.835
2009-06-30,2.306
2009-03-31,1.843
2008-12-31,2.383
2008-09-30,3.425
2008-06-30,2.346
2008-03-31,2.59
2007-12-31,3.468
2007-09-30,2.766
2007-06-30,2.603
2007-03-31,2.325
2006-12-31,2.127
