DateTime,AltmanZScore
2022-09-30,0.5006
2022-06-30,0.537
2022-03-31,0.6427
2021-12-31,0.6427
2021-09-30,0.7369
2021-06-30,0.7388
2021-03-31,0.7167
2020-12-31,0.7167
2020-09-30,0.6416
2020-06-30,0.6416
2020-03-31,0.6503
2019-12-31,0.6503
2019-09-30,0.6822
2019-06-30,0.6615
2019-03-31,0.6656
2018-12-31,0.6594
2018-09-30,0.6766
2018-06-30,0.6777
2018-03-31,0.669
2017-12-31,0.5398
2017-09-30,0.3419
2017-06-30,0.3542
2017-03-31,0.3723
2016-12-31,0.5795
2016-09-30,0.4377
2016-06-30,0.4662
2016-03-31,0.4619
2015-12-31,0.3802
2015-09-30,0.1594
2015-06-30,0.2135
2015-03-31,0.2399
2014-12-31,0.1911
2014-09-30,0.3704
2014-06-30,0.4002
2014-03-31,0.3382
2013-12-31,0.3433
2013-09-30,0.2863
2013-06-30,0.3818
2013-03-31,0.4105
2012-12-31,0.4485
2012-09-30,0.2192
2012-06-30,0.1712
2012-03-31,0.1925
2011-12-31,0.2198
2011-09-30,0.1351
2011-06-30,0.1639
2011-03-31,0.176
2010-12-31,0.2896
2010-09-30,0.1781
2010-06-30,0.1668
