DateTime,AltmanZScore
2023-05-31,3.228
2023-02-28,3.182
2022-11-30,2.898
2022-08-31,3.085
2022-05-31,3.018
2022-02-28,2.896
2021-11-30,2.728
2021-08-31,2.435
2021-05-31,2.307
2021-02-28,1.906
2020-11-30,1.859
2020-08-31,2.027
2020-05-31,2.266
2020-02-29,2.7
2019-11-30,2.798
2019-08-31,2.76
2019-05-31,3.103
2019-02-28,2.947
2018-11-30,2.963
2018-08-31,3.112
2018-05-31,3.919
2018-02-28,3.444
2017-11-30,3.489
2017-08-31,3.807
2017-05-31,4.404
2017-02-28,3.884
2016-11-30,3.691
2016-08-31,3.813
2016-05-31,4.149
2016-02-29,3.583
2015-11-30,3.694
2015-08-31,3.902
2015-05-31,3.562
2015-02-28,2.913
2014-11-30,2.701
2014-08-31,2.488
2014-05-31,2.923
2014-02-28,2.772
2013-11-30,2.771
2013-08-31,2.766
2013-05-31,3.093
2013-02-28,3.045
2012-11-30,2.905
2012-08-31,3.023
2012-05-31,3.168
2012-02-29,3.012
2011-11-30,2.951
2011-08-31,2.864
2011-05-31,3.037
2011-02-28,3.037
