DateTime,AltmanZScore
2023-03-31,-1.16
2022-12-31,-0.8363
2022-09-30,-1.016
2022-06-30,-1.202
2022-03-31,-0.8075
2021-12-31,-0.8957
2021-09-30,-1.019
2021-06-30,-0.9237
2021-03-31,-2.419
2020-12-31,-1.843
2020-09-30,-1.48
2020-06-30,-0.9079
2020-03-31,0.1289
2019-12-31,1.759
2019-09-30,1.653
2019-06-30,1.129
2019-03-31,0.318
2018-12-31,-0.1319
2018-09-30,-0.1001
2018-06-30,0.0034
2018-03-31,0.5752
2017-12-31,0.6181
2017-09-30,-0.0867
2017-06-30,0.2224
2017-03-31,0.5651
2016-12-31,0.6366
2016-09-30,0.4005
2016-06-30,0.2773
2016-03-31,0.4399
