DateTime,AltmanZScore
2023-03-31,-12.19
2022-12-31,-7.815
2022-09-30,-5.882
2022-06-30,-3.703
2022-03-31,-3.703
2021-12-31,-3.703
2021-09-30,-3.703
2021-06-30,-3.703
2021-03-31,-3.703
2020-12-31,-3.703
2020-09-30,-3.703
2020-06-30,-3.703
2020-03-31,-3.703
2019-12-31,-3.703
2019-09-30,-3.703
2019-06-30,-8.999
2019-03-31,-7.842
2018-12-31,-5.145
2018-09-30,-4.894
2018-06-30,-4.58
2018-03-31,-3.298
2017-12-31,-5.371
2017-09-30,-3.992
2017-06-30,-4.054
2017-03-31,-3.193
2016-12-31,-2.841
2016-09-30,-2.998
2016-06-30,-2.007
2016-03-31,-0.8147
2015-12-31,1.932
2015-09-30,6.561
2015-06-30,6.829
2015-03-31,0.6689
2014-12-31,4.704
2014-09-30,2.175
2014-06-30,2.684
