DateTime,AltmanZScore
2015-12-31,-62.41
2015-09-30,-53.03
2015-06-30,-41.75
2015-03-31,-21.06
2014-12-31,-21.06
2014-09-30,-21.06
2014-06-30,-21.06
2014-03-31,-21.06
2013-12-31,-12.76
2013-09-30,-15.48
2013-06-30,-12.21
2013-03-31,-23.7
2012-12-31,-15.23
2012-09-30,-5.286
2012-06-30,-7.754
2012-03-31,-7.289
2011-12-31,-16.37
2011-09-30,-21.11
2011-06-30,-19.82
2011-03-31,-10.89
2010-12-31,-12.47
2010-09-30,-11.45
2010-06-30,-9.266
2010-03-31,-10.7
2009-12-31,-11.67
2009-09-30,-27.28
2009-06-30,-20.7
2009-03-31,-19.93
2008-12-31,-22.9
2008-09-30,-26.16
2008-06-30,-12.01
2008-03-31,-11.79
2007-12-31,-8.189
2007-09-30,-1.244
2007-06-30,3.391
2007-03-31,-3.654
2006-12-31,-6.122
2006-09-30,-11.92
2006-06-30,-10.35
2006-03-31,-8.816
2005-12-31,-14.0
2005-09-30,-8.621
2005-06-30,-10.34
2005-03-31,-9.182
2004-12-31,-4.109
2004-09-30,-6.112
2004-06-30,-2.156
2004-03-31,-2.099
2003-12-31,3.398
2003-09-30,15.3
