DateTime,AltmanZScore
2023-03-31,3.132
2022-12-31,3.051
2022-09-30,2.638
2022-06-30,3.513
2022-03-31,3.85
2021-12-31,3.607
2021-09-30,3.152
2021-06-30,4.03
2021-03-31,4.365
2020-12-31,4.412
2020-09-30,2.994
2020-06-30,3.547
2020-03-31,3.412
2019-12-31,3.187
2019-09-30,2.489
2019-06-30,2.706
2019-03-31,2.975
2018-12-31,2.37
2018-09-30,2.449
2018-06-30,2.762
2018-03-31,2.753
2017-12-31,2.742
2017-09-30,2.424
2017-06-30,2.926
2017-03-31,3.006
2016-12-31,3.074
2016-09-30,2.763
2016-06-30,3.427
2016-03-31,3.176
2015-12-31,2.77
2015-09-30,2.227
2015-06-30,3.425
2015-03-31,3.358
2014-12-31,3.136
2014-09-30,2.622
2014-06-30,3.618
2014-03-31,3.713
2013-12-31,3.294
2013-09-30,2.57
2013-06-30,3.612
2013-03-31,3.626
2012-12-31,3.422
2012-09-30,2.681
2012-06-30,3.573
2012-03-31,3.532
2011-12-31,3.15
2011-09-30,2.359
2011-06-30,3.402
2011-03-31,3.26
2010-12-31,2.998
