DateTime,AltmanZScore
2023-03-31,3.62
2022-12-31,3.692
2022-09-30,3.587
2022-06-30,3.502
2022-03-31,3.686
2021-12-31,3.628
2021-09-30,3.519
2021-06-30,3.67
2021-03-31,3.789
2020-12-31,3.593
2020-09-30,3.437
2020-06-30,3.266
2020-03-31,2.96
2019-12-31,2.914
2019-09-30,2.785
2019-06-30,2.798
2019-03-31,3.0
2018-12-31,5.129
2018-09-30,5.457
2018-06-30,4.987
2018-03-31,5.361
2017-12-31,5.533
2017-09-30,5.008
2017-06-30,5.448
2017-03-31,5.488
2016-12-31,5.483
2016-09-30,6.105
2016-06-30,6.65
2016-03-31,7.575
2015-12-31,7.435
2015-09-30,6.427
2015-06-30,7.32
2015-03-31,7.535
2014-12-31,7.42
2014-09-30,6.951
2014-06-30,6.741
2014-03-31,7.2
2013-12-31,7.687
2013-09-30,7.975
