DateTime,AltmanZScore
2023-03-31,3.408
2022-12-31,3.091
2022-09-30,3.202
2022-06-30,3.812
2022-03-31,3.666
2021-12-31,3.559
2021-09-30,3.188
2021-06-30,3.078
2021-03-31,2.943
2020-12-31,3.096
2020-09-30,2.86
2020-06-30,3.334
2020-03-31,3.576
2019-12-31,3.699
2019-09-30,3.704
2019-06-30,3.799
2019-03-31,3.861
2018-12-31,3.744
2018-09-30,4.144
2018-06-30,4.056
2018-03-31,4.069
2017-12-31,3.902
2017-09-30,3.136
2017-06-30,3.656
2017-03-31,3.852
2016-12-31,3.912
2016-09-30,3.518
2016-06-30,3.251
2016-03-31,3.309
2015-12-31,3.335
2015-09-30,3.36
2015-06-30,3.638
2015-03-31,3.948
2014-12-31,3.971
2014-09-30,3.242
2014-06-30,3.66
2014-03-31,3.951
2013-12-31,3.996
2013-09-30,3.708
2013-06-30,3.82
