DateTime,AltmanZScore
2023-03-31,27.42
2022-12-31,16.33
2022-09-30,18.91
2022-06-30,27.9
2022-03-31,25.63
2021-12-31,25.97
2021-09-30,23.31
2021-06-30,32.24
2021-03-31,30.69
2020-12-31,38.6
2020-09-30,28.74
2020-06-30,50.03
2020-03-31,36.11
2019-12-31,35.42
2019-09-30,27.07
2019-06-30,21.78
2019-03-31,24.53
2018-12-31,22.72
2018-09-30,35.69
2018-06-30,31.18
2018-03-31,24.63
2017-12-31,21.6
2017-09-30,22.81
2017-06-30,22.37
2017-03-31,28.34
2016-12-31,21.03
2016-09-30,23.69
2016-06-30,16.8
2016-03-31,14.4
2015-12-31,17.31
2015-09-30,14.75
2015-06-30,13.44
2015-03-31,9.347
2014-12-31,7.978
2014-09-30,9.55
2014-06-30,10.22
2014-03-31,12.52
2013-12-31,10.42
2013-09-30,12.14
2013-06-30,8.982
2013-03-31,9.97
2012-12-31,5.714
2012-09-30,8.628
2012-06-30,7.33
2012-03-31,5.512
2011-12-31,3.59
2011-09-30,4.744
2011-06-30,5.673
2011-03-31,4.962
2010-12-31,4.002
