DateTime,AltmanZScore
2023-03-31,0.2123
2022-12-31,0.2609
2022-09-30,0.2996
2022-06-30,0.375
2022-03-31,0.4283
2021-12-31,0.4315
2021-09-30,0.4476
2021-06-30,0.4314
2021-03-31,0.45
2020-12-31,0.4481
2020-09-30,0.4414
2020-06-30,0.411
2020-03-31,0.4349
2019-12-31,0.4887
2019-09-30,0.4817
2019-06-30,0.4527
2019-03-31,0.4501
2018-12-31,0.4285
2018-09-30,0.3801
2018-06-30,0.4
2018-03-31,0.4297
2017-12-31,0.4692
2017-09-30,0.5209
2017-06-30,0.5131
2017-03-31,0.5707
2016-12-31,0.569
2016-09-30,0.5485
2016-06-30,0.5649
2016-03-31,0.5844
2015-12-31,0.5694
2015-09-30,0.5635
2015-06-30,0.5759
2015-03-31,0.5985
2014-12-31,0.6107
2014-09-30,0.6043
2014-06-30,0.5204
2014-03-31,0.4851
2013-12-31,0.4659
2013-09-30,0.4076
2013-06-30,0.4324
2013-03-31,0.4618
2012-12-31,0.4872
2012-09-30,0.3575
2012-06-30,0.3575
2012-03-31,0.3601
2011-12-31,0.4678
2011-09-30,0.3279
2011-06-30,0.2929
2011-03-31,0.315
2010-12-31,0.3047
