DateTime,AltmanZScore
2023-03-31,2.234
2022-12-31,2.187
2022-09-30,2.162
2022-06-30,2.23
2022-03-31,2.282
2021-12-31,2.263
2021-09-30,2.224
2021-06-30,2.278
2021-03-31,2.206
2020-12-31,2.141
2020-09-30,2.014
2020-06-30,2.017
2020-03-31,2.034
2019-12-31,2.218
2019-09-30,2.242
2019-06-30,2.234
2019-03-31,2.177
2018-12-31,2.156
2018-09-30,2.162
2018-06-30,2.139
2018-03-31,2.178
2017-12-31,2.15
2017-09-30,2.114
2017-06-30,2.112
2017-03-31,2.094
2016-12-31,2.039
2016-09-30,2.017
2016-06-30,2.014
2016-03-31,1.992
2015-12-31,1.965
2015-09-30,1.935
2015-06-30,1.922
2015-03-31,1.909
2014-12-31,1.884
2014-09-30,1.832
2014-06-30,1.826
2014-03-31,1.811
2013-12-31,1.828
2013-09-30,1.769
2013-06-30,1.736
2013-03-31,1.686
2012-12-31,1.603
2012-09-30,0.8905
2012-06-30,0.7841
2012-03-31,0.8633
2011-12-31,1.607
2011-09-30,0.7595
2011-06-30,0.9302
2011-03-31,0.9026
2010-12-31,0.8958
