DateTime,AltmanZScore
2023-03-31,7.263
2022-12-31,7.277
2022-09-30,5.687
2022-06-30,3.798
2022-03-31,4.478
2021-12-31,5.548
2021-09-30,5.763
2021-06-30,5.337
2021-03-31,6.305
2020-12-31,6.383
2020-09-30,4.98
2020-06-30,5.46
2020-03-31,7.391
2019-12-31,6.611
2019-09-30,8.849
2019-06-30,8.418
2019-03-31,9.98
2018-12-31,8.935
2018-09-30,10.38
2018-06-30,9.56
2018-03-31,8.96
2017-12-31,17.29
2017-09-30,10.63
2017-06-30,8.144
2017-03-31,10.87
2016-12-31,9.714
2016-09-30,8.89
2016-06-30,6.845
2016-03-31,7.025
2015-12-31,7.035
2015-09-30,10.12
2015-06-30,8.722
2015-03-31,10.2
2014-12-31,9.414
2014-09-30,14.7
2014-06-30,18.43
2014-03-31,24.23
2013-12-31,16.13
2013-09-30,14.94
2013-06-30,11.91
2013-03-31,12.73
2012-12-31,7.514
2012-09-30,8.43
2012-06-30,8.844
2012-03-31,10.56
2011-12-31,10.68
2011-09-30,8.541
2011-06-30,11.47
2011-03-31,10.39
2010-12-31,11.49
