DateTime,AltmanZScore
2023-03-31,0.4037
2022-12-31,0.4066
2022-09-30,0.4067
2022-06-30,0.4333
2022-03-31,0.4879
2021-12-31,0.5066
2021-09-30,0.4899
2021-06-30,0.4924
2021-03-31,0.5027
2020-12-31,0.4463
2020-09-30,0.3798
2020-06-30,0.3823
2020-03-31,0.4134
2019-12-31,0.4525
2019-09-30,0.4461
2019-06-30,0.4346
2019-03-31,0.4121
2018-12-31,0.4301
2018-09-30,0.4399
2018-06-30,0.4505
2018-03-31,0.4442
2017-12-31,0.4534
2017-09-30,0.4328
2017-06-30,0.4182
2017-03-31,0.4448
2016-12-31,0.4437
2016-09-30,0.3959
2016-06-30,0.4062
2016-03-31,0.4127
2015-12-31,0.4276
2015-09-30,0.4186
2015-06-30,0.4087
2015-03-31,0.4049
2014-12-31,0.4305
2014-09-30,0.4102
2014-06-30,0.4533
2014-03-31,0.4621
2013-12-31,0.4603
2013-09-30,0.4437
2013-06-30,0.446
2013-03-31,0.4882
2012-12-31,0.4479
2012-09-30,0.3444
2012-06-30,0.491
2012-03-31,0.5012
2011-12-31,0.5247
2011-09-30,0.438
2011-06-30,0.3457
2011-03-31,0.3496
2010-12-31,0.2753
