DateTime,AltmanZScore
2023-06-30,1.02
2023-03-31,1.269
2022-12-31,1.126
2022-09-30,1.274
2022-06-30,1.546
2022-03-31,1.575
2021-12-31,2.279
2021-09-30,2.864
2021-06-30,3.18
2021-03-31,3.639
2020-12-31,3.311
2020-09-30,3.0
2020-06-30,2.44
2020-03-31,1.707
2019-12-31,2.497
2019-09-30,2.34
2019-06-30,2.264
2019-03-31,2.559
2018-12-31,3.731
2018-09-30,4.196
2018-06-30,4.276
2018-03-31,5.155
2017-12-31,5.864
2017-09-30,5.461
2017-06-30,6.485
2017-03-31,5.613
2016-12-31,5.676
2016-09-30,4.797
2016-06-30,5.46
2016-03-31,5.175
2015-12-31,5.775
2015-09-30,6.091
2015-06-30,8.665
2015-03-31,9.064
2014-12-31,8.0
2014-09-30,6.617
2014-06-30,8.495
2014-03-31,7.814
2013-12-31,8.709
2013-09-30,9.217
2013-06-30,11.08
2013-03-31,8.735
2012-12-31,10.73
2012-09-30,11.37
2012-06-30,10.73
2012-03-31,12.34
2011-12-31,10.24
2011-09-30,8.402
2011-06-30,10.84
2011-03-31,8.007
