DateTime,AltmanZScore
2023-03-31,3.283
2022-12-31,3.562
2022-09-30,3.443
2022-06-30,3.456
2022-03-31,2.806
2021-12-31,2.83
2021-09-30,2.564
2021-06-30,3.025
2021-03-31,3.12
2020-12-31,4.071
2020-09-30,4.36
2020-06-30,4.514
2020-03-31,5.007
2019-12-31,4.129
2019-09-30,3.734
2019-06-30,3.118
2019-03-31,3.224
2018-12-31,3.36
2018-09-30,3.809
2018-06-30,4.917
2018-03-31,4.78
2017-12-31,4.794
2017-09-30,4.942
2017-06-30,3.451
2017-03-31,3.162
2016-12-31,2.997
2016-09-30,2.691
2016-06-30,2.292
2016-03-31,2.336
2015-12-31,4.675
2015-09-30,7.049
2015-06-30,9.495
2015-03-31,10.24
2014-12-31,13.04
2014-09-30,11.5
2014-06-30,10.41
2014-03-31,11.89
2013-12-31,14.25
2013-09-30,15.38
2013-06-30,17.16
2013-03-31,18.24
2012-12-31,21.36
2012-09-30,22.83
2012-06-30,27.0
2012-03-31,30.44
2011-12-31,31.0
2011-09-30,28.04
2011-06-30,24.08
2011-03-31,27.16
2010-12-31,27.39
