DateTime,AltmanZScore
2023-03-31,-31.17
2022-12-31,-14.43
2022-09-30,-8.992
2022-06-30,-2.006
2022-03-31,2.94
2021-12-31,4.458
2021-09-30,17.78
2021-06-30,18.96
2021-03-31,29.83
2020-12-31,6.115
2020-09-30,59.35
2020-06-30,62.25
2020-03-31,30.92
2019-12-31,9.814
2019-09-30,-1.254
2019-06-30,-6.767
2019-03-31,8.728
2018-12-31,8.676
2018-09-30,56.37
2018-06-30,-17.64
2018-03-31,12.81
2017-12-31,29.66
2017-09-30,4.853
2017-06-30,-0.2823
2017-03-31,25.73
2016-12-31,18.16
2016-09-30,18.54
2016-06-30,-3.643
2016-03-31,-4.138
2015-12-31,13.08
2015-09-30,3.642
2015-06-30,20.29
2015-03-31,12.76
2014-12-31,-0.6075
2014-09-30,3.189
2014-06-30,0.4351
2014-03-31,4.959
2013-12-31,6.447
2013-09-30,4.194
2013-06-30,5.882
2013-03-31,45.69
2012-12-31,13.94
2012-09-30,15.41
2012-06-30,-6.102
2012-03-31,9.51
2011-12-31,-17.6
2011-09-30,-15.02
2011-06-30,-14.52
2011-03-31,-11.38
2010-12-31,-9.525
