DateTime,AltmanZScore
2023-03-31,2.414
2022-12-31,2.39
2022-09-30,2.408
2022-06-30,2.059
2022-03-31,2.43
2021-12-31,2.524
2021-09-30,3.714
2021-06-30,4.187
2021-03-31,2.242
2020-12-31,1.947
2020-09-30,1.863
2020-06-30,1.705
2020-03-31,1.724
2019-12-31,2.02
2019-09-30,2.776
2019-06-30,3.116
2019-03-31,3.036
2018-12-31,2.923
2018-09-30,3.754
2018-06-30,4.139
2018-03-31,3.734
2017-12-31,3.132
2017-09-30,4.112
2017-06-30,4.658
2017-03-31,6.028
2016-12-31,4.016
2016-09-30,3.186
2016-06-30,3.298
2016-03-31,4.206
2015-12-31,3.627
2015-09-30,3.717
2015-06-30,3.287
2015-03-31,3.863
2014-12-31,3.428
2014-09-30,2.247
2014-06-30,1.689
2014-03-31,1.741
2013-12-31,1.836
2013-09-30,2.178
2013-06-30,2.542
2013-03-31,2.611
2012-12-31,2.613
2012-09-30,2.894
2012-06-30,3.028
2012-03-31,2.961
2011-12-31,2.772
2011-09-30,1.754
2011-06-30,1.754
2011-03-31,1.754
2010-12-31,0.8089
