DateTime,AltmanZScore
2023-03-31,0.5617
2022-12-31,0.5249
2022-09-30,0.314
2022-06-30,0.2619
2022-03-31,-0.0797
2021-12-31,-0.1369
2021-09-30,-0.1422
2021-06-30,-0.2383
2021-03-31,-0.4052
2020-12-31,-0.3712
2020-09-30,-0.2438
2020-06-30,-0.0268
2020-03-31,0.2322
2019-12-31,0.4943
2019-09-30,0.505
2019-06-30,0.5181
2019-03-31,0.5119
2018-12-31,0.5108
2018-09-30,0.5614
2018-06-30,0.5578
2018-03-31,0.5054
2017-12-31,0.6103
2017-09-30,0.5901
2017-06-30,0.6351
2017-03-31,0.6336
2016-12-31,0.6658
2016-09-30,0.6162
2016-06-30,0.659
2016-03-31,0.61
2015-12-31,0.6227
2015-09-30,0.5892
2015-06-30,0.6379
2015-03-31,0.6415
2014-12-31,0.6167
2014-09-30,0.5561
2014-06-30,0.5185
2014-03-31,0.4122
2013-12-31,0.519
2013-09-30,0.621
2013-06-30,0.5573
2013-03-31,0.4924
2012-12-31,0.4987
2012-09-30,0.4231
2012-06-30,0.432
2012-03-31,0.3907
2011-12-31,0.4267
2011-09-30,0.4477
2011-06-30,0.5074
2011-03-31,0.4495
2010-12-31,0.4688
