DateTime,AltmanZScore
2017-12-31,6.603
2017-09-30,3.084
2017-06-30,0.3961
2017-03-31,0.3183
2016-12-31,0.0505
2016-09-30,0.3954
2016-06-30,0.7521
2016-03-31,0.6988
2015-12-31,0.4566
2015-09-30,0.3592
2015-06-30,0.7895
2015-03-31,0.5375
2014-12-31,0.7784
2014-09-30,0.8847
2014-06-30,1.16
2014-03-31,1.005
2013-12-31,1.332
2013-09-30,1.921
2013-06-30,1.724
2013-03-31,1.985
2012-12-31,2.769
2012-09-30,2.626
2012-06-30,5.573
2012-03-31,5.763
2011-12-31,6.579
2011-09-30,3.353
2011-06-30,2.325
2011-03-31,1.883
2010-12-31,-0.4241
2010-09-30,-2.306
2010-06-30,-2.484
2010-03-31,-1.876
2009-12-31,0.1776
2009-09-30,1.513
2009-06-30,1.513
2009-03-31,1.513
2008-12-31,1.513
2008-09-30,1.513
2008-06-30,1.513
2008-03-31,1.513
2007-12-31,-0.9939
2007-09-30,3.818
2007-06-30,12.71
2007-03-31,12.71
2006-12-31,12.71
2006-09-30,12.71
2006-06-30,12.71
2006-03-31,12.71
2005-12-31,12.71
2005-09-30,12.71
