DateTime,AltmanZScore
2023-03-31,1.137
2022-12-31,1.284
2022-09-30,1.833
2022-06-30,0.3817
2022-03-31,0.9591
2021-12-31,1.191
2021-09-30,2.322
2021-06-30,3.316
2021-03-31,3.156
2020-12-31,2.43
2020-09-30,0.0773
2020-06-30,-0.5393
2020-03-31,-0.1963
2019-12-31,-0.1827
2019-09-30,-0.017
2019-06-30,-0.1307
2019-03-31,-1.13
2018-12-31,-1.029
2018-09-30,-1.55
2018-06-30,-1.488
2018-03-31,-0.8386
2017-12-31,-0.8305
2017-09-30,-0.249
2017-06-30,-0.1018
2017-03-31,-0.0029
2016-12-31,0.1678
2016-09-30,0.2396
2016-06-30,0.3483
2016-03-31,0.567
2015-12-31,0.8297
2015-09-30,1.033
2015-06-30,1.383
2015-03-31,1.619
2014-12-31,1.542
2014-09-30,1.359
2014-06-30,1.554
2014-03-31,1.38
2013-12-31,1.162
2013-09-30,1.074
2013-06-30,0.8326
2013-03-31,0.662
2012-12-31,0.566
2012-09-30,0.6402
2012-06-30,0.4469
2012-03-31,0.4747
2011-12-31,0.506
2011-09-30,0.822
2011-06-30,1.452
2011-03-31,1.548
2010-12-31,1.56
