DateTime,AltmanZScore
2023-06-30,0.5542
2023-03-31,0.5352
2022-12-31,0.612
2022-09-30,0.5388
2022-06-30,0.5977
2022-03-31,0.6171
2021-12-31,0.6666
2021-09-30,0.603
2021-06-30,0.5677
2021-03-31,0.5348
2020-12-31,0.5389
2020-09-30,0.4314
2020-06-30,0.4425
2020-03-31,0.4501
2019-12-31,0.5669
2019-09-30,0.5003
2019-06-30,0.4919
2019-03-31,0.4864
2018-12-31,0.5139
2018-09-30,0.4988
2018-06-30,0.5257
2018-03-31,0.4684
2017-12-31,0.5231
2017-09-30,0.5079
2017-06-30,0.4908
2017-03-31,0.5037
2016-12-31,0.4946
2016-09-30,0.4737
2016-06-30,0.4585
2016-03-31,0.4714
2015-12-31,0.455
2015-09-30,0.4408
2015-06-30,0.4662
2015-03-31,0.4713
2014-12-31,0.4936
2014-09-30,0.4604
2014-06-30,0.4339
2014-03-31,0.4927
2013-12-31,0.484
2013-09-30,0.4979
2013-06-30,0.4806
2013-03-31,0.4848
2012-12-31,0.5016
2012-09-30,0.2426
2012-06-30,0.5106
2012-03-31,0.287
2011-12-31,0.5501
2011-09-30,0.2848
2011-06-30,0.2759
2011-03-31,0.2466
