DateTime,AltmanZScore
2022-12-31,0.4617
2022-09-30,0.419
2022-06-30,0.4324
2022-03-31,0.4564
2021-12-31,0.419
2021-09-30,0.4286
2021-06-30,0.4347
2021-03-31,0.4168
2020-12-31,0.384
2020-09-30,0.3573
2020-06-30,0.3885
2020-03-31,0.3955
2019-12-31,0.4099
2019-09-30,0.414
2019-06-30,0.3732
2019-03-31,0.4139
2018-12-31,0.419
2018-09-30,0.4501
2018-06-30,0.468
2018-03-31,0.4468
2017-12-31,0.5082
2017-09-30,0.5122
2017-06-30,0.5802
2017-03-31,0.598
2016-12-31,0.5788
2016-09-30,0.5456
2016-06-30,0.5147
2016-03-31,0.5683
2015-12-31,0.6009
2015-09-30,0.6211
2015-06-30,0.6591
2015-03-31,0.6924
2014-12-31,0.6835
2014-09-30,0.6432
2014-06-30,0.6311
2014-03-31,0.6094
2013-12-31,0.6014
2013-09-30,0.5902
2013-06-30,0.6044
2013-03-31,0.5757
2012-12-31,0.616
2012-09-30,0.2815
2012-06-30,0.2831
2012-03-31,0.2831
2011-12-31,0.5275
2011-09-30,0.2766
2011-06-30,0.2995
2011-03-31,0.2717
2010-12-31,0.3034
2010-09-30,0.3145
