DateTime,AltmanZScore
2023-03-31,-1.413
2022-12-31,-1.172
2022-09-30,-1.064
2022-06-30,1.048
2022-03-31,2.918
2021-12-31,4.182
2021-09-30,85.1
2021-06-30,99.79
2021-03-31,27.92
2020-12-31,1.253
2020-09-30,0.7048
2020-06-30,0.4984
2020-03-31,0.4718
2019-12-31,1.188
2019-09-30,0.7936
2019-06-30,0.3678
2019-03-31,0.5126
2018-12-31,0.1409
2018-09-30,0.5019
2018-06-30,0.6448
2018-03-31,0.6927
2017-12-31,0.483
2017-09-30,-0.0638
2017-06-30,-0.2654
2017-03-31,-0.3454
2016-12-31,-0.5023
2016-09-30,-0.2948
2016-06-30,-0.2529
2016-03-31,0.0841
2015-12-31,1.052
2015-09-30,0.7948
2015-06-30,0.5573
2015-03-31,0.4817
2014-12-31,0.2088
2014-09-30,0.7992
2014-06-30,0.9031
2014-03-31,0.8838
2013-12-31,2.027
2013-09-30,2.419
2013-06-30,164.78
2013-03-31,290.81
2012-12-31,178.02
