DateTime,AltmanZScore
2023-03-31,0.7519
2022-12-31,0.1151
2022-09-30,0.3007
2022-06-30,0.9527
2022-03-31,1.776
2021-12-31,1.585
2021-09-30,2.663
2021-06-30,2.459
2021-03-31,2.716
2020-12-31,1.059
2020-09-30,-1.394
2020-06-30,1.683
2020-03-31,1.578
2019-12-31,2.248
2019-09-30,2.275
2019-06-30,3.335
2019-03-31,2.58
2018-12-31,1.717
2018-09-30,2.466
2018-06-30,1.785
2018-03-31,1.883
2017-12-31,1.856
2017-09-30,2.387
2017-06-30,2.218
2017-03-31,1.804
2016-12-31,1.374
2016-09-30,2.353
2016-06-30,1.46
2016-03-31,1.891
2015-12-31,1.609
2015-09-30,2.545
2015-06-30,2.495
2015-03-31,4.973
2014-12-31,7.29
2014-09-30,10.11
2014-06-30,12.99
2014-03-31,11.74
2013-12-31,14.58
2013-09-30,11.52
2013-06-30,13.04
2013-03-31,11.97
2012-12-31,11.99
2012-09-30,11.8
2012-06-30,16.19
2012-03-31,14.22
2011-12-31,12.37
2011-09-30,8.61
2011-06-30,14.05
2011-03-31,24.29
2010-12-31,17.55
