DateTime,AltmanZScore
2023-03-31,24.69
2022-12-31,18.52
2022-09-30,28.99
2022-06-30,28.07
2022-03-31,32.02
2021-12-31,31.28
2021-09-30,49.69
2021-06-30,73.0
2021-03-31,58.06
2020-12-31,37.21
2020-09-30,32.92
2020-06-30,39.4
2020-03-31,21.56
2019-12-31,20.53
2019-09-30,16.58
2019-06-30,19.45
2019-03-31,23.35
2018-12-31,24.69
2018-09-30,37.56
2018-06-30,24.02
2018-03-31,10.31
2017-12-31,13.85
2017-09-30,8.178
2017-06-30,8.612
2017-03-31,6.531
2016-12-31,7.358
2016-09-30,5.699
2016-06-30,2.538
2016-03-31,5.151
2015-12-31,5.352
2015-09-30,6.465
2015-06-30,9.13
2015-03-31,6.478
2014-12-31,7.94
2014-09-30,9.593
2014-06-30,15.89
2014-03-31,17.41
2013-12-31,14.56
2013-09-30,12.62
2013-06-30,9.72
2013-03-31,4.508
2012-12-31,4.129
2012-09-30,6.976
2012-06-30,7.528
2012-03-31,11.7
2011-12-31,9.972
2011-09-30,7.674
2011-06-30,4.332
2011-03-31,4.235
2010-12-31,4.134
