DateTime,AltmanZScore
2023-03-31,0.4496
2022-12-31,0.4557
2022-09-30,0.4648
2022-06-30,0.4763
2022-03-31,0.5147
2021-12-31,0.5127
2021-09-30,0.508
2021-06-30,0.5074
2021-03-31,0.451
2020-12-31,0.3613
2020-09-30,0.3372
2020-06-30,0.2573
2020-03-31,0.2582
2019-12-31,0.4465
2019-09-30,0.3419
2019-06-30,0.3558
2019-03-31,0.3665
2018-12-31,0.3252
2018-09-30,0.3258
2018-06-30,0.3077
2018-03-31,0.3073
2017-12-31,0.2914
2017-09-30,0.3737
2017-06-30,0.3646
2017-03-31,0.3577
2016-12-31,0.368
2016-09-30,0.3535
2016-06-30,0.3317
2016-03-31,0.3821
2015-12-31,0.396
2015-09-30,0.4228
2015-06-30,0.4244
2015-03-31,0.4228
2014-12-31,0.4658
2014-09-30,0.4505
2014-06-30,0.4718
2014-03-31,0.4948
2013-12-31,0.4754
2013-09-30,0.4786
2013-06-30,0.4657
2013-03-31,0.4818
2012-12-31,0.4755
2012-09-30,0.3848
2012-06-30,0.3956
2012-03-31,0.4153
2011-12-31,0.5022
2011-09-30,0.4197
2011-06-30,0.4058
2011-03-31,0.3934
2010-12-31,0.4027
