DateTime,AltmanZScore
2023-03-31,4.864
2022-12-31,3.451
2022-09-30,2.576
2022-06-30,2.902
2022-03-31,4.916
2021-12-31,6.864
2021-09-30,10.32
2021-06-30,7.622
2021-03-31,6.517
2020-12-31,4.528
2020-09-30,3.481
2020-06-30,3.908
2020-03-31,3.895
2019-12-31,7.715
2019-09-30,8.791
2019-06-30,8.181
2019-03-31,8.376
2018-12-31,9.386
2018-09-30,10.13
2018-06-30,10.03
2018-03-31,13.27
2017-12-31,11.5
2017-09-30,10.85
2017-06-30,9.834
2017-03-31,9.667
2016-12-31,7.628
2016-09-30,7.752
2016-06-30,8.769
2016-03-31,9.932
2015-12-31,9.762
2015-09-30,8.153
2015-06-30,6.351
2015-03-31,4.719
2014-12-31,5.214
2014-09-30,7.644
2014-06-30,9.231
2014-03-31,10.98
2013-12-31,11.64
2013-09-30,9.969
2013-06-30,7.78
2013-03-31,8.459
2012-12-31,6.551
2012-09-30,7.733
2012-06-30,7.494
2012-03-31,9.275
2011-12-31,9.07
2011-09-30,8.047
2011-06-30,11.17
2011-03-31,8.49
2010-12-31,7.409
