DateTime,AltmanZScore
2023-03-31,13.21
2022-12-31,14.59
2022-09-30,14.89
2022-06-30,12.7
2022-03-31,12.79
2021-12-31,7.148
2021-09-30,10.69
2021-06-30,17.25
2021-03-31,11.72
2020-12-31,12.92
2020-09-30,9.182
2020-06-30,9.898
2020-03-31,9.964
2019-12-31,14.16
2019-09-30,16.09
2019-06-30,17.08
2019-03-31,9.14
2018-12-31,6.397
2018-09-30,8.106
2018-06-30,6.031
2018-03-31,5.725
2017-12-31,4.857
2017-09-30,2.766
2017-06-30,2.888
2017-03-31,2.231
2016-12-31,2.367
2016-09-30,3.22
2016-06-30,2.905
2016-03-31,2.783
2015-12-31,2.476
2015-09-30,2.555
2015-06-30,2.585
2015-03-31,2.883
2014-12-31,2.957
2014-09-30,3.02
2014-06-30,2.693
2014-03-31,2.986
2013-12-31,2.876
2013-09-30,2.755
2013-06-30,2.72
2013-03-31,2.787
2012-12-31,2.697
2012-09-30,2.491
2012-06-30,2.711
2012-03-31,2.987
2011-12-31,2.995
2011-09-30,2.578
2011-06-30,3.155
2011-03-31,3.632
2010-12-31,3.509
