DateTime,AltmanZScore
2023-03-31,0.304
2022-12-31,0.3001
2022-09-30,0.2816
2022-06-30,0.3083
2022-03-31,0.3137
2021-12-31,0.3312
2021-09-30,0.3336
2021-06-30,0.3447
2021-03-31,0.5137
2020-12-31,0.486
2020-09-30,0.4056
2020-06-30,0.3584
2020-03-31,0.3442
2019-12-31,0.3442
2019-09-30,0.3288
2019-06-30,0.3388
2019-03-31,0.3156
2018-12-31,0.2989
2018-09-30,0.303
2018-06-30,0.3056
2018-03-31,0.3162
2017-12-31,0.3071
2017-09-30,0.3083
2017-06-30,0.3162
2017-03-31,0.3431
2016-12-31,0.3305
2016-09-30,0.3022
2016-06-30,0.3047
2016-03-31,0.3133
2015-12-31,0.308
2015-09-30,0.2878
2015-06-30,0.2785
2015-03-31,0.2855
2014-12-31,0.2942
2014-09-30,0.2891
2014-06-30,0.2854
2014-03-31,0.2998
2013-12-31,0.3112
2013-09-30,0.3233
2013-06-30,0.3374
2013-03-31,0.3986
2012-12-31,0.4098
2012-09-30,0.3964
2012-06-30,0.3757
2012-03-31,0.3528
2011-12-31,0.3281
2011-09-30,0.3189
2011-06-30,0.3348
2011-03-31,0.3565
2010-12-31,0.4068
