DateTime,AltmanZScore
2023-06-30,0.5771
2023-03-31,0.6009
2022-12-31,0.6009
2022-09-30,0.5971
2022-06-30,0.6243
2022-03-31,0.6448
2021-12-31,0.6907
2021-09-30,0.6854
2021-06-30,0.647
2021-03-31,0.6247
2020-12-31,0.5724
2020-09-30,0.5124
2020-06-30,0.5223
2020-03-31,0.5105
2019-12-31,0.5609
2019-09-30,0.5554
2019-06-30,0.5621
2019-03-31,0.57
2018-12-31,0.5314
2018-09-30,0.5231
2018-06-30,0.5333
2018-03-31,0.5318
2017-12-31,0.5363
2017-09-30,0.5427
2017-06-30,0.5299
2017-03-31,0.5399
2016-12-31,0.5178
2016-09-30,0.4874
2016-06-30,0.4806
2016-03-31,0.5006
2015-12-31,0.4792
2015-09-30,0.4286
2015-06-30,0.404
2015-03-31,0.4043
2014-12-31,0.4541
2014-09-30,0.4777
2014-06-30,0.4779
2014-03-31,0.5554
2013-12-31,0.6124
2013-09-30,0.5929
2013-06-30,0.6187
2013-03-31,0.699
2012-12-31,0.6686
2012-09-30,0.5498
2012-06-30,0.5598
2012-03-31,0.5746
2011-12-31,0.617
2011-09-30,0.435
2011-06-30,0.428
2011-03-31,0.4705
