DateTime,AltmanZScore
2023-03-31,0.4685
2022-12-31,0.4343
2022-09-30,0.4773
2022-06-30,0.5095
2022-03-31,0.53
2021-12-31,0.5437
2021-09-30,0.5272
2021-06-30,0.4753
2021-03-31,0.4569
2020-12-31,0.3904
2020-09-30,0.4083
2020-06-30,0.4001
2020-03-31,0.3477
2019-12-31,0.4008
2019-09-30,0.3731
2019-06-30,0.3406
2019-03-31,0.2963
2018-12-31,0.2914
2018-09-30,0.3349
2018-06-30,0.2664
2018-03-31,0.263
2017-12-31,0.2324
2017-09-30,0.2171
2017-06-30,0.2167
2017-03-31,0.1962
2016-12-31,0.1885
2016-09-30,0.1941
2016-06-30,0.2163
2016-03-31,0.2127
2015-12-31,0.2099
2015-09-30,0.254
2015-06-30,0.2792
2015-03-31,0.2392
2014-12-31,0.2869
2014-09-30,0.2903
2014-06-30,0.2882
2014-03-31,0.3023
2013-12-31,0.3114
2013-09-30,0.2975
2013-06-30,0.2632
2013-03-31,0.2794
2012-12-31,0.2651
2012-09-30,0.2651
2012-06-30,0.2023
2012-03-31,0.2046
2011-12-31,0.2577
2011-09-30,0.2306
2011-06-30,0.22
2011-03-31,0.2363
2010-12-31,0.2255
