DateTime,AltmanZScore
2023-04-30,3.228
2023-01-31,3.881
2022-10-31,3.786
2022-07-31,3.468
2022-04-30,3.359
2022-01-31,3.618
2021-10-31,3.74
2021-07-31,3.564
2021-04-30,3.364
2021-01-31,3.12
2020-10-31,2.506
2020-07-31,2.215
2020-04-30,2.121
2020-01-31,2.108
2019-10-31,2.082
2019-07-31,2.146
2019-04-30,2.134
2019-01-31,2.755
2018-10-31,2.478
2018-07-31,2.342
2018-04-30,2.522
2018-01-31,2.799
2017-10-31,2.326
2017-07-31,2.385
2017-04-30,2.517
2017-01-31,2.576
2016-10-31,1.915
2016-07-31,1.88
2016-04-30,1.955
2016-01-31,1.909
2015-10-31,2.005
2015-07-31,2.005
2015-04-30,2.074
2015-01-31,2.118
2014-10-31,2.052
2014-07-31,2.018
2014-04-30,2.12
2014-01-31,2.175
2013-10-31,2.04
2013-07-31,2.182
2013-04-30,2.33
2013-01-31,2.564
2012-10-31,2.247
2012-07-31,2.368
2012-04-30,2.695
2012-01-31,2.629
2011-10-31,2.362
2011-07-31,2.591
2011-04-30,3.066
2011-01-31,2.988
