DateTime,AltmanZScore
2023-03-31,4.653
2022-12-31,4.368
2022-09-30,3.973
2022-06-30,4.08
2022-03-31,4.298
2021-12-31,4.21
2021-09-30,3.933
2021-06-30,3.81
2021-03-31,3.199
2020-12-31,2.985
2020-09-30,2.966
2020-06-30,3.002
2020-03-31,3.061
2019-12-31,3.825
2019-09-30,3.742
2019-06-30,4.186
2019-03-31,5.974
2018-12-31,4.998
2018-09-30,5.991
2018-06-30,6.306
2018-03-31,6.065
2017-12-31,5.885
2017-09-30,6.07
2017-06-30,6.756
2017-03-31,6.436
2016-12-31,6.257
2016-09-30,6.007
2016-06-30,6.273
2016-03-31,6.354
2015-12-31,6.863
2015-09-30,6.78
2015-06-30,8.304
2015-03-31,9.564
2014-12-31,7.704
2014-09-30,6.858
2014-06-30,6.779
2014-03-31,8.561
2013-12-31,8.847
2013-09-30,7.854
2013-06-30,7.361
2013-03-31,7.835
2012-12-31,6.665
2012-09-30,6.056
2012-06-30,5.987
2012-03-31,6.403
2011-12-31,6.365
2011-09-30,6.743
2011-06-30,7.381
2011-03-31,6.9
2010-12-31,6.236
