DateTime,AltmanZScore
2023-03-31,-4.645
2022-12-31,-5.034
2022-09-30,-4.886
2022-06-30,-4.78
2022-03-31,-4.318
2021-12-31,-4.064
2021-09-30,-4.579
2021-06-30,-3.972
2021-03-31,-3.654
2020-12-31,-3.886
2020-09-30,-2.069
2020-06-30,-1.751
2020-03-31,-1.437
2019-12-31,-1.005
2019-09-30,-0.5653
2019-06-30,-0.4794
2019-03-31,-0.1297
2018-12-31,0.0636
2018-09-30,0.3577
2018-06-30,0.4712
2018-03-31,0.1159
2017-12-31,0.4452
2017-09-30,0.3824
2017-06-30,0.627
2017-03-31,1.078
2016-12-31,0.9347
2016-09-30,0.7552
2016-06-30,0.7405
2016-03-31,1.506
2015-12-31,1.795
2015-09-30,1.275
2015-06-30,2.382
2015-03-31,2.421
2014-12-31,3.168
2014-09-30,3.501
2014-06-30,3.772
