DateTime,AltmanZScore
2023-03-31,9.587
2022-12-31,9.985
2022-09-30,8.785
2022-06-30,10.39
2022-03-31,12.02
2021-12-31,14.68
2021-09-30,15.74
2021-06-30,13.62
2021-03-31,16.22
2020-12-31,17.56
2020-09-30,13.09
2020-06-30,12.95
2020-03-31,13.69
2019-12-31,18.22
2019-09-30,13.71
2019-06-30,14.42
2019-03-31,13.99
2018-12-31,18.95
2018-09-30,15.96
2018-06-30,19.31
2018-03-31,19.97
2017-12-31,24.3
2017-09-30,17.45
2017-06-30,17.49
2017-03-31,15.04
2016-12-31,23.77
2016-09-30,15.23
2016-06-30,20.49
2016-03-31,20.61
2015-12-31,34.62
2015-09-30,21.05
2015-06-30,30.14
2015-03-31,16.18
2014-12-31,57.27
2014-09-30,25.84
2014-06-30,36.81
2014-03-31,33.61
2013-12-31,64.45
2013-09-30,22.23
2013-06-30,26.44
2013-03-31,26.12
2012-12-31,31.23
2012-09-30,20.66
2012-06-30,24.14
2012-03-31,25.61
2011-12-31,27.88
2011-09-30,15.71
2011-06-30,22.83
2011-03-31,32.97
2010-12-31,31.95
