DateTime,AltmanZScore
2023-03-31,-0.2645
2022-12-31,0.1762
2022-09-30,-0.3381
2022-06-30,1.549
2022-03-31,3.525
2021-12-31,3.019
2021-09-30,3.609
2021-06-30,4.766
2021-03-31,4.105
2020-12-31,3.524
2020-09-30,3.956
2020-06-30,1.726
2020-03-31,1.484
2019-12-31,2.674
2019-09-30,1.307
2019-06-30,2.216
2019-03-31,4.223
2018-12-31,7.549
2018-09-30,11.42
2018-06-30,8.243
2018-03-31,8.32
2017-12-31,9.336
2017-09-30,12.6
2017-06-30,15.82
2017-03-31,10.3
2016-12-31,8.726
2016-09-30,6.378
2016-06-30,4.907
2016-03-31,3.855
2015-12-31,6.156
2015-09-30,3.272
2015-06-30,9.206
2015-03-31,13.42
2014-12-31,22.73
2014-09-30,17.21
2014-06-30,20.44
