DateTime,AltmanZScore
2023-03-31,3.546
2022-12-31,4.307
2022-09-30,5.292
2022-06-30,5.734
2022-03-31,8.242
2021-12-31,14.99
2021-09-30,9.667
2021-06-30,15.11
2021-03-31,11.41
2020-12-31,19.07
2020-09-30,11.12
2020-06-30,7.511
2020-03-31,5.381
2019-12-31,7.859
2019-09-30,6.134
2019-06-30,8.838
2019-03-31,8.665
2018-12-31,7.856
2018-09-30,11.08
2018-06-30,11.19
2018-03-31,9.531
2017-12-31,10.83
2017-09-30,10.32
2017-06-30,9.649
2017-03-31,7.163
2016-12-31,8.448
2016-09-30,9.818
2016-06-30,8.908
2016-03-31,6.866
2015-12-31,6.837
2015-09-30,5.34
2015-06-30,6.433
2015-03-31,6.473
2014-12-31,3.602
2014-09-30,4.446
